ticker,Date,Open,High,Low,Close
metal,2022-03-11,1351.7723485383422,1402.1324671656546,1349.9770512639457,1361.5852280751308
metal,2022-03-10,1356.5958197994632,1396.1216636068352,1345.4314362378195,1352.141999717554
metal,2022-03-09,1326.1033046179919,1383.534811467307,1316.202160711764,1341.9538200819093
metal,2022-03-08,1334.5145459680837,1357.048792543426,1296.6272419149836,1320.3117497528597
metal,2022-03-07,1334.4584098291202,1362.7171303488208,1286.050699053806,1310.1959469001554
metal,2022-03-04,1378.2456573930235,1420.7212964270584,1332.2747493291909,1351.9488772772206
metal,2022-03-03,1370.7880242903545,1445.0674339782518,1344.2035023301794,1361.67031492727
metal,2022-03-02,1240.9977404321423,1413.7741844372265,1230.2090100268324,1359.007555430024
metal,2022-02-28,1212.9332015252082,1241.84825589606,1174.0036717977687,1232.0593842677588
metal,2022-02-25,1175.9080638327919,1232.0456150261261,1175.9080638327919,1213.0274678717697
metal,2022-02-24,1218.3466318316623,1231.528032763734,1155.5857223555995,1165.1938285552887
metal,2022-02-23,1251.0337522948737,1269.7066092359837,1235.9391328908346,1243.1658664030504
metal,2022-02-22,1230.6729275526056,1270.477333709928,1220.5359412512357,1241.9912441745516
metal,2022-02-21,1304.3404886315493,1307.2687473520689,1271.4185849456292,1275.609730264087
metal,2022-02-18,1324.9901143906227,1337.8456432707246,1303.4479593277786,1307.6620533822907
metal,2022-02-17,1343.9316480723062,1353.601539330603,1323.3070893941535,1329.1000564891965
metal,2022-02-16,1324.4174551617002,1369.7097867532834,1312.3626606411524,1341.6629007202373
metal,2022-02-15,1289.1258296850729,1319.180906651603,1274.355317045615,1312.872475639034
metal,2022-02-14,1345.8197994633526,1357.5695523231184,1295.1828837734784,1304.309066516029
metal,2022-02-11,1375.4653297556843,1380.7322412088688,1348.1990538059597,1360.2499646942524
metal,2022-02-10,1376.1562632396553,1392.3552464341194,1364.4167490467448,1369.7546250529585
metal,2022-02-09,1383.9154074283292,1390.1080355881938,1364.5777432566022,1372.3510097443864
metal,2022-02-08,1401.0379889846065,1403.7699477474932,1363.0571246999011,1378.157746081062
metal,2022-02-07,1393.0716000564894,1414.1321847196723,1382.2659228922466,1392.7503177517299
metal,2022-02-04,1410.3135150402486,1414.3065951136846,1389.2818810902413,1392.7365485100975
metal,2022-02-03,1403.4860895353763,1420.5973732523655,1394.5276090947607,1401.4323541872618
metal,2022-02-02,1397.280398248835,1418.0666572518007,1382.6913571529444,1397.0950430730122
metal,2022-02-01,1391.773760768253,1398.6110718825023,1358.9125829685072,1376.5022595678577
metal,2022-01-31,1386.4722496822483,1432.6334557265923,1356.0482276514617,1393.5941251235702
metal,2022-01-28,1363.1429176669963,1417.63698630137,1354.3673209998587,1378.499505719531
metal,2022-01-27,1387.5780257025845,1392.1141081768112,1348.467730546533,1355.0176528738878
metal,2022-01-25,1362.9434401920632,1407.465047309702,1349.7694534670245,1380.9733794661772
metal,2022-01-24,1427.0869227510238,1486.0595254907498,1365.7816692557549,1386.8574353904814
metal,2022-01-21,1450.6958762886597,1455.5588899872898,1416.2261686202514,1424.2882361248412
metal,2022-01-20,1444.3969778279904,1461.0295156051404,1434.454526196865,1442.5360118627314
metal,2022-01-19,1459.0488631549215,1466.8012992515182,1426.740573365344,1433.5150402485524
metal,2022-01-18,1481.845431436238,1486.9933625194183,1444.9675187120463,1451.1036576754695
metal,2022-01-17,1504.8262957209433,1514.326366332439,1474.3998022878125,1485.8900579014264
metal,2022-01-14,1448.418302499647,1518.8921056347972,1443.7791272419151,1499.4838299675187
metal,2022-01-13,1560.9800875582546,1592.486936873323,1539.975285976557,1558.6958056771641
metal,2022-01-12,1553.6604999293886,1571.7765852280752,1532.5430730122864,1558.86492020901
metal,2022-01-11,1535.638680977263,1589.548792543426,1504.1406580991384,1546.7998870216072
metal,2022-01-10,1471.029162547663,1584.0658099138539,1469.4827707950856,1531.9725321282306
metal,2022-01-07,1442.891540742833,1483.359694958339,1438.0712469990115,1462.7690297980512
metal,2022-01-06,1452.8004519135716,1494.858777008897,1439.7472108459258,1448.486795650332
metal,2022-01-05,1445.0409546674198,1477.7552605564185,1434.5209010026833,1459.9410394012145
metal,2022-01-04,1434.349668125971,1472.417031492727,1422.0819799463352,1441.856729275526
metal,2022-01-03,1452.7467871769525,1468.2576613472672,1397.2055500635504,1424.2787035729416
metal,2021-12-31,1464.2095043073014,1493.6929812173423,1430.13698630137,1449.8142917666996
metal,2021-12-30,1466.8521395283153,1483.0934896201102,1440.52111283717,1460.4911029515606
metal,2021-12-29,1469.5367885891824,1489.1929106058465,1450.5366473661911,1466.9319305182885
metal,2021-12-28,1490.7174127948028,1501.1297839288236,1448.9789577743256,1465.5613613896342
metal,2021-12-27,1461.4369439344723,1471.872616862025,1439.3584945629148,1450.32904956927
metal,2021-12-24,1510.548651320435,1515.1362801864143,1449.6818952125404,1458.7932495410255
metal,2021-12-23,1471.8690862872475,1503.8578590594548,1468.1930518288377,1484.3673209998587
metal,2021-12-22,1469.8962011015392,1502.8191639598926,1450.5931365626323,1458.952478463494
metal,2021-12-21,1423.5637621804829,1496.1537918373112,1420.5620675045898,1461.273125264793
metal,2021-12-20,1444.0149696370568,1494.1904392035021,1396.027044202796,1417.19142776444
metal,2021-12-17,1533.98460669397,1537.4124417455164,1477.9995763310267,1493.620604434402
metal,2021-12-16,1549.7119050981498,1562.8212823047593,1518.5033893517866,1526.450360118627
metal,2021-12-15,1566.4528315209716,1579.0124982347124,1525.8325095325517,1540.532763733936
metal,2021-12-14,1549.0891117073859,1575.3308148566587,1537.8675328343454,1559.506425646095
metal,2021-12-13,1575.6411523796073,1609.448524219743,1533.5852986866262,1542.0802146589465
metal,2021-12-10,1550.4377912724192,1585.2323118203642,1538.3791131196158,1565.132396554159
metal,2021-12-09,1556.3698630136987,1566.5068493150684,1532.484112413501,1552.2532128230475
metal,2021-12-08,1531.958762886598,1553.5736477898602,1518.2460104505012,1544.3934472532128
metal,2021-12-07,1503.2520124276234,1526.8471967236267,1500.1013274961165,1516.4831944640587
metal,2021-12-06,1510.5242903544697,1528.7904250812032,1478.524219742974,1493.6936873322977
metal,2021-12-03,1496.5110860048017,1553.2954384973873,1488.9005790142637,1506.037635927129
metal,2021-12-02,1510.8784070046604,1513.9196441180625,1477.36619121593,1496.0655274678718
metal,2021-12-01,1518.3801722920493,1520.4420279621522,1476.0849456291485,1498.7501765287388
metal,2021-11-30,1536.2141646660075,1545.2040672221437,1472.7598503036295,1486.9029798051124
metal,2021-11-29,1517.5635503459962,1574.6172856941112,1415.1885326931224,1510.666219460528
metal,2021-11-26,1538.1796356446828,1595.0593136562632,1523.807018782658,1560.8695805677164
metal,2021-11-25,1572.4067928258721,1633.8991667843525,1549.2003248128794,1613.812667702302
metal,2021-11-24,1571.7765852280752,1599.973873746646,1556.7606976415761,1571.4341194746505
metal,2021-11-23,1553.0701878265781,1579.9247987572378,1504.5477333709928,1561.7208021465894
metal,2021-11-22,1601.724332721367,1603.502683236831,1508.005225250671,1545.309631407993
metal,2021-11-18,1603.7484112413501,1624.0269735913007,1575.1285129219038,1585.474156192628
metal,2021-11-17,1637.4505719531141,1646.2462928964835,1612.5423668973308,1616.469778279904
metal,2021-11-16,1648.4896201101537,1657.5787318175398,1627.8071600056487,1637.2450925010592
metal,2021-11-15,1674.372969919503,1674.372969919503,1634.6991950289507,1638.6590876994774
metal,2021-11-12,1683.8871628301085,1695.1631125547237,1651.8592006778704,1657.7478463493858
metal,2021-11-11,1670.7329473238244,1692.318528456433,1661.8330744245163,1668.5213952831523
metal,2021-11-10,1686.4517723485383,1705.3428188109024,1648.7025137692415,1666.4620110153935
metal,2021-11-09,1693.0278209292474,1707.4240926422822,1671.2092218613188,1687.3796074000848
metal,2021-11-08,1690.2796215223839,1698.0984324247988,1660.9271289365909,1681.0454031916395
metal,2021-11-04,1669.0326225109447,1695.5197006072588,1667.7697359130066,1686.621239937862
metal,2021-11-03,1660.3700042366897,1687.3979663889281,1642.156122016664,1663.5439909617287
metal,2021-11-02,1671.545332580144,1673.3752294873607,1639.8623075836745,1647.3771359977404
